"entity_id"
"ai_task.google_ai_task"
"ai_task.ollama_ai_task"
"ai_task.openai_ai_task"
"assist_satellite.home_assistant_voice_096460_assist_satellit"
"automation.assistent_aterstall_ljudnivaer"
"automation.assistent_poolens_tempetatur"
"automation.aterstall_ljudvolymer"
"automation.automatisk_uppdatering_av_esphome_enheter"
"automation.batteri_varna_om_for_lag_niva"
"automation.battery_not_reported"
"automation.battery_replaced"
"automation.battery_threshold"
"automation.elmatare_on_off_line"
"automation.frysboxen_varmevarning"
"automation.gaasol_varna_for_lag_niva_2"
"automation.godnatt"
"automation.granny_carcharging_done"
"automation.ha_ready"
"automation.hemmavarme"
"automation.honshuset_varna_for_lite_vatten"
"automation.intent_bortavarme"
"automation.intent_komfortvarme"
"automation.internet_status"
"automation.kontrollera_om_honsluckan_ar_stangd"
"automation.laddning_av_bilens_batteri"
"automation.lampornas_scen"
"automation.led_plafonder_i_verkstaden"
"automation.luftfuktarens_vatten"
"automation.ny_automationbackup_av_alla_openwrt_enheter_i_tailscalenatverket"
"automation.poolpump_stang_av"
"automation.scen_alarm"
"automation.scen_julbelysning"
"automation.scen_ledstrip_i_trappan"
"automation.scen_matbelysning"
"automation.scen_morgonljus_fran_vackarklockans_alarm"
"automation.scen_mysbelysning"
"automation.scen_partybelysning"
"automation.scen_slack_koket"
"automation.scen_tv_lampor_2"
"automation.scen_vaxtlampor"
"automation.sef_42h_ar_hemma_och_last"
"automation.spela_hissmusik_pa_dassen"
"automation.stang_av_lampan_i_redet"
"automation.starta_om_alla_esphome_enheter"
"automation.styrning_bilvarmaren"
"automation.styrning_diskmaskinen"
"automation.styrning_flakten_inkallaren"
"automation.styrning_honsluckan"
"automation.styrning_lagra_ny_starttid_for_billigaste_elpriset"
"automation.styrning_poolbelysning"
"automation.styrning_start_vid_lagsta_elpris"
"automation.styrning_uv_index"
"automation.styrning_varmare_till_honsens_vatten"
"automation.tillstand_balkongdorren"
"automation.tillstand_dorrklocka"
"automation.tillstand_elpriser_imorgon"
"automation.tillstand_prusa_xl"
"automation.tillstand_soljuset"
"automation.tillstand_vattenlacka_under_torkskapet"
"automation.tillstand_ytterdorren_kranglar"
"automation.torktumlaren"
"automation.tvattmaskin_notifiera_tv"
"automation.uppdatera_prognos_for_elkostnader"
"automation.varmeinstallningar"
"automation.varna_for_lag_saltniva"
